metadata_alive,metadata_alive_since,metadata_anonymity,metadata_average_timeout,metadata_first_seen,metadata_asn,metadata_asname,metadata_city,metadata_continent,metadata_continent_code,metadata_country,metadata_country_code,metadata_district,metadata_hosting,metadata_isp,metadata_latitude,metadata_longitude,metadata_mobile,metadata_org,metadata_proxy,metadata_region,metadata_status,metadata_timezone,metadata_zip,metadata_last_update,metadata_last_seen,dest_port,metadata_protocol,metadata_proxy_address,metadata_ssl,metadata_timeout,metadata_times_alive,metadata_times_dead,metadata_uptime,dest_ip
True,1778567828.108,elite,7711.8985454148,1777300158.4685,AS209847 WorkTitans B.V.,THE,Paris,Europe,EU,France,FR,,False,WorkTitans B.V.,48.8566,2.35222,False,WorkTitans B.V,True,Île-de-France,success,Europe/Paris,75000,1778509796,1778568213.6947,1082,http,185.234.64.63:1082,False,4393.6431407928,2136,8036,20.998820290995,185.234.64.63
True,1778568213.4394,elite,8431.1403671197,1777231736.4955,AS209847 WorkTitans B.V.,THE,Paris,Europe,EU,France,FR,,False,WorkTitans B.V.,48.8566,2.35222,False,WorkTitans B.V,True,Île-de-France,success,Europe/Paris,75000,1778442698,1778568213.4394,1082,http,185.234.64.62:1082,False,13691.9028759,2264,8888,20.301291248207,185.234.64.62
True,1778568213.4205,transparent,5156.8075859625,1774958624.9451,AS4787 PT Cyberindo Aditama,ASN-CBN,Medan,Asia,AS,Indonesia,ID,,False,Indonesia Network Information Center,3.58333,98.6667,False,,True,North Sumatra,success,Asia/Jakarta,,1777983381,1778568213.4205,8080,http,103.109.174.43:8080,False,8646.4328765869,7169,48009,12.992497009678,103.109.174.43
True,1778568213.3346,elite,11825.898696395,1778460086.9775,AS20454 SECURED SERVERS LLC,SSASN2,Phoenix,North America,,United States,US,,True,Secured Servers LLC,33.4532,-112.0748,False,Secured Servers LLC,False,Arizona,success,America/Phoenix,85036,1778456697,1778568213.3346,22291,http,174.138.165.130:22291,False,16878.665447235,68,277,19.710144927536,174.138.165.130
True,1778567887.2613,transparent,5599.2336018216,1765140508.4906,AS142326 PT Fahasa Tri Data,IDNIC-FAHASA-ID-AS-ID,Pecangaan,Asia,AS,Indonesia,ID,,False,PT Fahasa Tri Data,-6.6978,110.711,False,PT Fahasa Tri Data,True,Central Java,success,Asia/Jakarta,,1778494471,1778568213.3327,1111,http,103.168.254.26:1111,False,3618.2882785797,7415,47979,13.385926273604,103.168.254.26
True,1778568212.9793,transparent,5688.7805135758,1775818266.9896,AS202561 High Speed Telekomunikasyon ve Hab. Hiz. Ltd. Sti.,highspeed,Antakya,Asia,AS,Türkiye,TR,,False,High Speed Telekomunikasyon ve Haberlesme Hizmetleri Ltd Sti,36.2054,36.1617,False,High Speed Telekomunikasyon ve Haberlesme Hizmetleri Ltd Sti,True,Hatay,success,Europe/Istanbul,31000,1778243994,1778568212.9793,8080,http,38.156.72.39:8080,False,2029.6127796173,6119,22007,21.755670909479,38.156.72.39
True,1778568212.7908,transparent,6466.6316299787,1745487457.0931,AS9299 Philippine Long Distance Telephone Company,IPG-AS-AP,Bacoor,Asia,AS,Philippines,PH,,False,Philippine Long Distance Telephone Co.,14.456,120.9401,False,Philippine Long Distance Telephone Company,True,Calabarzon,success,Asia/Manila,4102,1778545531,1778568212.7908,8080,http,122.3.87.41:8080,False,7618.156671524,6784,94723,6.6832829263006,122.3.87.41
True,1778567987.4168,transparent,4242.3088682832,1773916700.8064,AS328490 Unwired Communications Limited,Unwired-Communications,Nairobi,Africa,AF,Kenya,KE,,False,Unwired Communications Ltd,-1.2841,36.8155,False,,True,Nairobi County,success,Africa/Nairobi,09831,1778150452,1778568211.904,8080,http,102.68.77.47:8080,False,1961.5802764893,8346,72888,10.274023192259,102.68.77.47
True,1778567935.5211,elite,7057.1556633169,1778459684.3125,AS20454 SECURED SERVERS LLC,SSASN2,Phoenix,North America,,United States,US,,True,Secured Servers LLC,33.4532,-112.0748,False,WebQuest Inc,False,Arizona,success,America/Phoenix,85036,1778457003,1778568211.8127,9340,http,174.138.165.122:9340,False,9117.769241333,66,276,19.298245614035,174.138.165.122
True,1778567989.4874,elite,6687.71607834,1778547709.3223,AS20454 SECURED SERVERS LLC,SSASN2,Phoenix,North America,,United States,US,,True,Secured Servers LLC,33.4532,-112.0748,False,WebQuest Inc,False,Arizona,success,America/Phoenix,85036,1778546330,1778568211.4233,26835,http,174.138.165.122:26835,False,14374.611377716,57,25,69.512195121951,174.138.165.122
True,1778553911.3934,elite,2874.4798898411,1710543963.6749,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Frankfurt am Main,Europe,EU,Germany,DE,,True,Alibaba.com LLC,50.1169,8.6837,False,ALICLOUD-GM,True,Hesse,success,Europe/Berlin,60313,1778029740,1778568211.2082,3128,http,47.91.65.23:3128,False,22.722005844116,717754,277998,72.081602648049,47.91.65.23
True,1778568128.5305,transparent,6031.0484763345,1749826905.2796,AS265148 Pontonet Computadores e Redes Ltda Epp,Pontonet Computadores e Redes Ltda Epp,Sombrio,South America,SA,Brazil,BR,,False,Pontonet Computadores e Redes Ltda Epp,-29.0846,-49.6894,False,Pontonet Computadores e Redes Ltda Epp,False,Santa Catarina,success,America/Sao_Paulo,88960,1778540856,1778568211.1619,8080,http,143.255.147.242:8080,False,4093.5168266296,8079,65093,11.041108620784,143.255.147.242
True,1778567334.9296,elite,11334.248756108,1778461803.7261,AS20454 SECURED SERVERS LLC,SSASN2,Phoenix,North America,,United States,US,,True,Secured Servers LLC,33.4532,-112.0748,False,WebQuest Inc,False,Arizona,success,America/Phoenix,85036,1778458489,1778568211.0073,8720,http,174.138.165.122:8720,False,13325.711250305,57,273,17.272727272727,174.138.165.122
True,1778568085.8394,transparent,6563.8885687545,1754646959.9984,AS132652 PT. Cahaya Buana Raksa,IDNIC-UNINA-AS-ID,Rengasdengklok,Asia,AS,Indonesia,ID,,False,UNINA,-6.15917,107.298,False,,False,West Java,success,Asia/Jakarta,,1778272584,1778568210.9381,8080,http,146.196.40.165:8080,False,9794.2750453949,7637,56499,11.907509043283,146.196.40.165
True,1778568210.9,elite,5928.0807720987,1778513201.8334,AS20454 SECURED SERVERS LLC,SSASN2,Phoenix,North America,,United States,US,,True,Secured Servers LLC,33.4532,-112.0748,False,WebQuest Inc,False,Arizona,success,America/Phoenix,85036,1778509424,1778568210.9,20383,http,174.138.165.126:20383,False,12500.077009201,19,126,13.103448275862,174.138.165.126
True,1778565357.342,elite,2876.3047377417,1778227755.8975,AS52086 Osnova Data Net LLC,COREDATANET-AS,Omsk,Europe,EU,Russia,RU,,False,Osnova Data Net LLC,54.9896,73.3729,False,Osnova Data Net LLC,False,Omsk Oblast,success,Asia/Omsk,644000,1778223285,1778568209.8497,1080,socks5,5.182.27.38:1080,True,711.3835811615,1067,436,70.991350632069,5.182.27.38
True,1778566444.8533,elite,2376.8631912224,1776079438.2458,AS6181 Cincinnati Bell Telephone Company LLC,FUSE-NET,Cincinnati,North America,,United States,US,,False,Cincinnati Bell Telephone Company LLC,39.1877,-84.4572,False,Altafiber,True,Ohio,success,America/New_York,45237,1778498473,1778568209.4986,41679,socks5,66.42.224.229:41679,True,1274.7142314911,18702,170,99.099194573972,66.42.224.229
True,1778567769.3758,transparent,6402.4172309006,1773801784.6206,AS28186 ITS TELECOMUNICACOES LTDA,ITS TELECOMUNICACOES LTDA,Salvador,South America,SA,Brazil,BR,,False,ITS TELECOMUNICACOES LTDA,-12.8665,-38.4858,False,ITS TELECOMUNICACOES LTDA,False,Bahia,success,America/Bahia,40000,1778036689,1778568209.411,4040,http,187.44.188.238:4040,False,13039.822340012,11818,81259,12.697014299988,187.44.188.238
True,1778566630.697,transparent,5673.4315952672,1776590227.37,AS29256 STE PDN Internal AS,INT-PDN-STE-AS,Qadsayyā,Asia,AS,Syria,SY,,False,sy-samaweb,33.5483,36.2156,False,,False,Rif-dimashq,success,Asia/Damascus,,1778402994,1778568209.2977,8080,http,185.225.40.122:8080,False,6760.3759765625,3159,12755,19.850446148046,185.225.40.122
True,1778568209.2314,elite,9625.6906502956,1778460023.4726,AS20454 SECURED SERVERS LLC,SSASN2,Phoenix,North America,,United States,US,,True,Secured Servers LLC,33.4532,-112.0748,False,WebQuest Inc,False,Arizona,success,America/Phoenix,85036,1778456697,1778568209.2314,9247,http,174.138.165.122:9247,False,13224.160432816,148,241,38.046272493573,174.138.165.122
True,1778568035.2229,transparent,6209.9754793702,1772921242.0302,AS138862 PT. DIGITAL NETWORK SETIAWAN,DNS-AS-ID,Bandar Lampung,Asia,AS,Indonesia,ID,,False,Digital Network Setiawan,-5.3864,105.2902,False,,False,Lampung,success,Asia/Jakarta,35131,1778270374,1778568208.6134,8080,http,103.139.98.118:8080,False,1962.3095989227,4874,27289,15.154059011908,103.139.98.118
True,1778568208.5258,transparent,6325.1796121839,1753099237.0351,AS269919 HONDUVISION SRL,HONDUVISION SRL,Tegucigalpa,North America,,Honduras,HN,,False,Honduvision SRL,14.0828,-87.2041,False,Honduvision SRL,True,Francisco Morazán Department,success,America/Tegucigalpa,,1778494943,1778568208.5258,999,http,200.115.97.14:999,False,4468.1282043457,3977,17912,18.168943304856,200.115.97.14
True,1778568207.9091,elite,5786.2709357866,1778010247.8062,AS209693 OC NETWORKS LIMITED,OC-NETWORK,Tallinn,Europe,EU,Estonia,EE,,False,OC NETWORKS LIMITED,59.4381,24.7369,False,1Cent Host,False,Harjumaa,success,Europe/Tallinn,,1778009005,1778568207.9091,1080,socks5,144.31.170.253:1080,True,9960.520029068,731,1576,31.686172518422,144.31.170.253
True,1778566358.0029,transparent,4851.8463344785,1778099006.7009,AS273170 LATENCIA 0 SA,LATENCIA 0 SA,Maipú,South America,SA,Argentina,AR,,False,Latencia 0 SA,-32.9842,-68.7783,False,Latencia 0 SA,False,Mendoza,success,America/Argentina/Mendoza,5517,1778097865,1778568207.8389,999,http,38.211.245.45:999,False,7437.1325969696,3442,1464,70.15898899307,38.211.245.45
True,1778567762.7478,elite,11578.356237614,1777267792.1955,AS209847 WorkTitans B.V.,THE,Paris,Europe,EU,France,FR,,False,WorkTitans B.V.,48.8566,2.35222,False,WorkTitans B.V,True,Île-de-France,success,Europe/Paris,75000,1778477325,1778568207.8378,1082,socks5,185.234.64.65:1082,True,20071.991443634,3015,4666,39.252701471163,185.234.64.65
True,1778567539.4765,elite,3233.7571559188,1778330565.414,AS24940 Hetzner Online GmbH,HETZNER-AS,Falkenstein,Europe,EU,Germany,DE,,True,Hetzner Online GmbH,50.4777,12.3649,False,,True,Saxony,success,Europe/Berlin,08223,1778329004,1778568207.7684,3070,http,157.90.10.15:3070,False,36.791324615479,749,651,53.5,157.90.10.15
True,1778568207.7153,transparent,6837.8666868443,1710787140.9787,AS52468 UFINET PANAMA S.A.,UFINET PANAMA S.A.,Bahía de Caráquez,South America,SA,Ecuador,EC,,False,Ufinet Panama S.A.,-0.6,-80.4167,False,Negocios Y Telefonia Nedetel S.A,False,Manabí,success,America/Guayaquil,,1778152676,1778568207.7153,999,http,45.224.22.63:999,False,6286.8220806122,46753,848876,5.2201302101651,45.224.22.63
True,1778568207.4956,transparent,5615.0119950806,1777876295.5338,AS141123 PT Puskomedia Indonesia Kreatif,IDNIC-PUSKOMEDIANET-AS-ID,Sidakaya,Asia,AS,Indonesia,ID,,False,PT Puskomedia Indonesia Kreatif,-7.5753,108.864,False,PT Puskomedia Indonesia Kreatif,True,Central Java,success,Asia/Jakarta,,1778480754,1778568207.4956,8089,http,103.170.22.142:8089,False,4602.62799263,2071,3687,35.967349774227,103.170.22.142
True,1778568207.2799,transparent,5652.5863324737,1776509752.0905,AS29256 STE PDN Internal AS,INT-PDN-STE-AS,Damascus,Asia,AS,Syria,SY,,False,ISP-TARASSUL,33.5138,36.2765,False,,False,Damascus Governorate,success,Asia/Damascus,,1778324592,1778568207.2799,8080,http,78.155.64.122:8080,False,8342.1218395233,3026,12778,19.147051379398,78.155.64.122
True,1778536392.0353,elite,1317.1386611983,1776078169.4239,AS46562 Performive LLC,PERFORMIVE,Los Angeles,North America,,United States,US,,True,Performive LLC,34.0549,-118.243,False,Performive LLC,True,California,success,America/Los_Angeles,90009,1778498133,1778568207.2751,4145,socks5,142.54.232.6:4145,True,2001.0488033295,11948,3500,77.343345416882,142.54.232.6
True,1778568207.2747,elite,7290.0107752892,1778459727.3926,AS20454 SECURED SERVERS LLC,SSASN2,Phoenix,North America,,United States,US,,True,Secured Servers LLC,33.4532,-112.0748,False,WebQuest Inc,False,Arizona,success,America/Phoenix,85036,1778457004,1778568207.2747,9465,http,174.138.165.122:9465,False,9610.9247207642,31,276,10.097719869707,174.138.165.122
True,1778563445.5067,elite,4717.9810870363,1765045783.2241,AS51395 Datasource AG,AS-SOFTPLUS,Tann,Europe,EU,Switzerland,CH,,True,Datasource AG,47.2706,8.8498,False,Firestorm3,True,Zurich,success,Europe/Zurich,8632,1778353420,1778568207.0946,80,http,185.85.111.18:80,False,39.384126663208,110600,153977,41.802575431727,185.85.111.18
True,1778568206.8855,elite,6377.618715167,1778548810.251,AS19437 SECURED SERVERS LLC,SS-ASH,Ashburn,North America,,United States,US,,True,Secured Servers LLC,39.018,-77.539,False,Secured Servers LLC,False,Virginia,success,America/New_York,20147,1778544895,1778568206.8855,50635,socks5,131.153.163.163:50635,True,5562.2820854187,16,45,26.229508196721,131.153.163.163
True,1778567904.3626,elite,1836.8189334869,1778567067.2655,AS19437 SECURED SERVERS LLC,SS-ASH,Ashburn,North America,,United States,US,,True,Secured Servers LLC,39.018,-77.539,False,Secured Servers LLC,False,Virginia,success,America/New_York,20147,1778565408,1778568206.8749,52003,http,131.153.163.166:52003,False,2590.240240097,5,1,83.333333333333,131.153.163.166
True,1778480534.3156,elite,854.19745319293,1765085077.2083,AS8075 Microsoft Corporation,MICROSOFT-CORP-MSN-AS-BLOCK,Tokyo,Asia,AS,Japan,JP,,True,Microsoft Corporation,35.68,139.77,False,Microsoft Azure Cloud (japaneast),True,Tokyo,success,Asia/Tokyo,152-8503,1778391678,1778568206.7963,80,http,48.210.225.96:80,False,759.79566574097,275029,9044,96.816311300264,48.210.225.96
True,1778568206.7954,transparent,4701.5373412653,1778008990.3156,AS265509 OPTOENLACES S.A. DE C.V.,OPTOENLACES S.A. DE C.V.,La Viña,North America,,Mexico,MX,,False,Optoenlaces SA de CV,19.2656,-101.469,False,Optoenlaces SA de CV,False,Michoacán,success,America/Mexico_City,61650,1778006873,1778568206.7954,999,http,38.35.247.141:999,False,9971.5940952301,1314,2857,31.503236633901,38.35.247.141
True,1778438533.7441,elite,2437.0490332126,1776081978.4374,AS22773 Cox Communications Inc.,ASN-CXA-ALL-CCI-22773-RDC,Chicago,North America,,United States,US,,False,Cox Communications Inc.,41.8781,-87.6298,False,Cox Communications Inc.,True,Illinois,success,America/Chicago,60666,1778497793,1778568206.5722,4145,socks5,72.223.188.67:4145,True,1763.5223865509,15305,1708,89.960618350673,72.223.188.67
True,1778568061.1113,transparent,6008.6916669062,1764317390.7249,AS142375 PT Hayat Teknologi Informatika,IDNIC-HTI-AS-ID,Ngamprah,Asia,AS,Indonesia,ID,,False,PT Hayat Teknologi Informatika,-6.80361,107.275,False,PT Hayat Teknologi Informatika,True,West Java,success,Asia/Jakarta,,1778272898,1778568206.0434,8097,http,103.171.183.222:8097,False,3725.8679866791,8620,63937,11.880314786995,103.171.183.222
True,1778567833.9757,elite,11737.003265467,1778460363.4741,AS20454 SECURED SERVERS LLC,SSASN2,Phoenix,North America,,United States,US,,True,Secured Servers LLC,33.4532,-112.0748,False,WebQuest Inc,False,Arizona,success,America/Phoenix,85036,1778456700,1778568206.0315,22335,http,174.138.165.126:22335,False,12669.536590576,133,250,34.725848563969,174.138.165.126
True,1778568205.9836,transparent,4694.3880365168,1777811419.8685,AS45326 Broad Band Telecom Services Ltd,BBTS-AS-AP,Chittagong,Asia,AS,Bangladesh,BD,Double Moorings,False,BBTS Network,22.3234,91.8117,False,,False,Chittagong,success,Asia/Dhaka,4000,1778413610,1778568205.9836,10001,http,119.18.147.224:10001,False,8156.8603515625,1988,4168,32.293697205978,119.18.147.224
True,1778561759.6794,elite,2161.5070035338,1776086229.2326,AS57529 ZAO GTNT,GTNT-AS,Moscow,Europe,EU,Russia,RU,,False,ZAO GTNT,55.7569,37.6151,False,ZAO GTNT,True,Moscow,success,Europe/Moscow,144700,1778507831,1778568205.9506,1080,socks5,195.19.50.180:1080,True,1253.4713745117,1790,8175,17.962870045158,195.19.50.180
True,1778568205.9072,transparent,6671.7898677204,1763829748.595,"AS270026 RED SERVITEL, CA","RED SERVITEL, CA",Barquisimeto,South America,SA,Venezuela,VE,,False,"RED SERVITEL, CA",10.0664,-69.3586,True,"RED SERVITEL, CA",False,Lara,success,America/Caracas,,1778084995,1778568205.9072,999,http,38.172.160.16:999,False,3889.7371292114,27447,42623,39.170829170829,38.172.160.16
True,1778568205.8682,transparent,6838.0293836511,1710573572.551,AS8053 IFX Networks Venezuela C.A.,IFX Networks Venezuela C.A.,Caracas,South America,SA,Venezuela,VE,,False,IFX Networks Venezuela C.A.,10.4873,-66.8738,False,IFX Networks Venezuela C.A,True,Distrito Federal,success,America/Caracas,,1777991382,1778568205.8682,999,http,190.94.212.249:999,False,6791.4407253265,57267,837251,6.4019952644888,190.94.212.249
True,1778567643.9576,elite,6072.1614440893,1777065803.7463,AS215590 DpkgSoft International Limited,XORA-AS,Amsterdam,Europe,EU,The Netherlands,NL,,False,DpkgSoft International Limited,52.3676,4.90414,False,Xorek.Cloud Moscow,False,North Holland,success,Europe/Amsterdam,1012,1778272403,1778568205.0905,1080,http,2.27.54.161:1080,False,7042.7794456482,8726,6487,57.358837836061,2.27.54.161
True,1778568204.8496,elite,11461.858521253,1776088904.1855,AS24940 Hetzner Online GmbH,HETZNER-AS,Nuremberg,Europe,EU,Germany,DE,,True,Hetzner Online GmbH,49.4527,11.0783,False,Hetzner,True,Bavaria,success,Europe/Berlin,90403,1778506677,1778568204.8496,8069,socks5,5.75.168.247:8069,True,17046.433210373,1229,7172,14.629210808237,5.75.168.247
True,1778568204.8216,transparent,6519.9335652882,1776269158.2693,"AS272882 BITNET DOMINICANA, S.R.L.","BITNET DOMINICANA, S.R.L.",Santo Domingo,North America,,Dominican Republic,DO,,False,"BITNET DOMINICANA, S.R.L",18.4615,-69.8965,False,"BITNET DOMINICANA, S.R.L",False,Nacional,success,America/Santo_Domingo,10203,1778082461,1778568204.8216,999,http,38.156.235.236:999,False,6825.3207206726,4268,14560,22.668366263013,38.156.235.236
True,1778567407.6421,transparent,6009.4308443031,1758437768.0021,AS135607 Infinivan Incorporated,INFINIVAN-AS-AP,Davao City,Asia,AS,Philippines,PH,,False,Infinivan Incorporated,7.0712,125.6089,False,Enterprise,False,Davao Region,success,Asia/Manila,8000,1778398574,1778568204.6013,8082,http,126.209.18.46:8082,False,11315.868377686,24458,274092,8.1922626025791,126.209.18.46
True,1778563174.1653,elite,5102.1457948709,1715439988.8164,AS396982 Google LLC,GOOGLE-CLOUD-PLATFORM,Taipei,Asia,AS,Taiwan,TW,,True,Google LLC,25.0329,121.5654,False,Google Cloud (asia-east1),True,Taiwan,success,Asia/Taipei,,1778567530,1778568204.5002,80,http,34.81.160.132:80,False,662.35566139221,136166,362754,27.29215104626,34.81.160.132
True,1778568204.0496,anonymous,10827.222143016,1775701486.9698,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,Deyang,Asia,AS,China,CN,,False,Chinanet,31.1268,104.398,False,Chinanet SC,True,Sichuan,success,Asia/Shanghai,618000,1778121770,1778568204.0496,8880,http,125.64.244.100:8880,False,3026.4830589294,5016,22149,18.464936499172,125.64.244.100
True,1778568203.9963,transparent,4667.6468789358,1759537742.1543,AS23688 Link3 Technologies Ltd.,LINK3-TECH-AS-BD-AP,Dhaka,Asia,AS,Bangladesh,BD,,False,Link3 Technologies Limited,23.7145,90.4577,False,Corporate Subscriber,True,Dhaka Division,success,Asia/Dhaka,1362,1778495575,1778568203.9963,2314,http,123.200.6.205:2314,False,2279.3006896973,8130,23680,25.558000628733,123.200.6.205
True,1778568203.9353,elite,8999.3332222025,1776269076.9075,AS135097 LUOGELANG (FRANCE) LIMITED,MYCLOUD-AS-AP,Chai Wan,Asia,AS,Hong Kong,HK,,False,CloudFly Net Inc Pending,22.2678,114.236,False,CloudFly Net Inc,True,Eastern District,success,Asia/Hong_Kong,,1778004918,1778568203.9353,40154,http,154.220.66.218:40154,False,5522.7301120758,945,11817,7.4047954866008,154.220.66.218
True,1778568137.8428,transparent,4578.3325919979,1778373252.5795,AS34984 Superonline Iletisim Hizmetleri A.S.,TELLCOM-AS,Bursa,Asia,AS,Türkiye,TR,,False,Superonline Iletisim Hizmetleri A.S.,40.2262,29.0723,False,Superonline Iletisim Hizmetleri,False,Bursa Province,success,Europe/Istanbul,16250,1778371341,1778568203.7109,8080,http,195.142.250.38:8080,False,9107.2323322296,456,536,45.967741935484,195.142.250.38
True,1778568203.7011,elite,8164.2990295704,1778460260.8661,AS20454 SECURED SERVERS LLC,SSASN2,Phoenix,North America,,United States,US,,True,Secured Servers LLC,33.4532,-112.0748,False,WebQuest Inc,False,Arizona,success,America/Phoenix,85036,1778456700,1778568203.7011,22087,http,174.138.165.126:22087,False,5887.570142746,13,269,4.6099290780142,174.138.165.126
